[Panel Mapper],,,,,,,,,
1,130,61.5,2.801467,-89.545444,-0.868701,0.202101,0.215323,0.217378,96
1,130,62,2.80196,-89.542021,-0.869815,0.210182,0.221399,0.220148,96
1,130,62.5,2.802734,-89.556346,-0.86569,0.188435,0.253612,0.21788,94
1,130,63,2.803647,-89.560728,-0.842225,0.1953,0.232973,0.220183,92
1,130,63.5,2.804676,-89.55543,-0.856756,0.196971,0.248903,0.22026,95
1,130,64,2.80535,-89.557741,-0.838671,0.200427,0.246618,0.226,98
1,130,64.5,2.805684,-89.572956,-0.831988,0.18954,0.255154,0.220586,93
1,130,65,2.806334,-89.562013,-0.826927,0.18719,0.259562,0.226653,87
1,130,65.5,2.806698,-89.589057,-0.797338,0.185733,0.27443,0.224739,96
1,130,66,2.807195,-89.583024,-0.791363,0.207241,0.234313,0.228413,97
1,130,66.5,2.806666,-89.579858,-0.809098,0.188409,0.271937,0.230664,90
1,130,67,2.806769,-89.592092,-0.782197,0.203163,0.269888,0.224363,92
1,130,67.5,2.806536,-89.588288,-0.774973,0.197144,0.255382,0.223023,97
1,130,68,2.806255,-89.601142,-0.753546,0.220163,0.20432,0.228655,91
1,130,68.5,2.805933,-89.602282,-0.780225,0.189626,0.221643,0.227032,97
1,130,123,5.101779,135.2126,0.10078,0.01599,-0.132437,1.192277,218
1,130,122.5,4.162717,89.929869,0.128524,1.561719,1.636777,12.770275,78
1,130,122,3.961173,89.768667,0.255873,21.023495,20.811195,7.38588,182
1,130,121.5,3.117546,89.842805,0.276495,7.489749,7.268441,6.914562,129
1,130,121,2.908828,89.896462,0.261181,0.432265,0.354612,0.360383,103
1,130,120.5,2.857357,89.89757,0.256863,0.359254,0.312575,0.329554,94
1,130,120,2.821952,89.896079,0.244049,0.305742,0.275352,0.266676,102
1,130,119.5,2.799171,89.919383,0.228776,0.156342,0.108733,0.203391,92
1,130,119,2.786123,-90.082634,0.217581,0.018142,0.022503,0.191929,107
1,130,118.5,2.78041,-90.094961,0.210104,0.088558,0.164777,0.206291,95
1,130,118,2.778336,-90.066908,0.180948,0.152152,0.228814,0.216393,92
1,130,117.5,2.777898,-90.055873,0.163973,0.158421,0.275593,0.229919,94
1,130,117,2.778654,-90.05993,0.152046,0.187173,0.248779,0.228305,91
1,130,116.5,2.779019,-90.051063,0.128527,0.141981,0.302682,0.230584,87
1,130,116,2.779006,-90.044506,0.130456,0.164999,0.281189,0.235208,82
1,130,115.5,2.778824,-90.050214,0.132864,0.158863,0.276216,0.227695,82
1,130,115,2.778385,-90.030359,0.106771,0.181003,0.252292,0.227451,81
1,130,114.5,2.777776,-90.017056,0.078045,0.180384,0.237364,0.227271,80
1,130,114,2.777619,-90.009911,0.072234,0.151327,0.266785,0.225273,82
1,130,113.5,2.776909,-90.008257,0.062616,0.189561,0.276964,0.229618,89
1,130,113,2.776375,-90.006486,0.056968,0.210848,0.230658,0.226057,79
1,130,112.5,2.775389,-89.987395,0.043058,0.17178,0.25906,0.233012,85
1,130,112,2.775028,-89.987525,0.033905,0.183311,0.226015,0.226322,100
1,130,111.5,2.774311,-89.982251,0.024099,0.204513,0.215182,0.224726,94
1,130,111,2.773352,-89.988741,0.019984,0.19305,0.249449,0.227149,92
1,130,110.5,2.77224,-89.979371,-0.00953,0.180853,0.240657,0.222805,88
1,130,110,2.771605,-89.971728,-0.005985,0.217989,0.240766,0.223522,96
1,130,109.5,2.770655,-89.955378,-0.026369,0.176075,0.28471,0.231268,85
1,130,109,2.77102,-89.959518,-0.032839,0.172993,0.242037,0.230878,89
1,130,108.5,2.770303,-89.959135,-0.037311,0.180224,0.257641,0.226358,86
1,165,54,5.058064,-89.858546,-0.007908,11.884795,11.936481,5.675354,142
1,165,54.5,3.993263,-89.797389,-0.448708,0.50229,0.747119,12.085748,46
1,165,55,3.229899,-89.5179,-0.931205,0.422425,0.040411,6.653072,63
1,165,55.5,2.871837,-89.411542,-1.14114,0.247857,0.300062,0.454289,84
1,165,56,2.848499,-89.419242,-1.128436,0.23922,0.289884,0.321901,88
1,165,56.5,2.836168,-89.419626,-1.141645,0.246759,0.258081,0.279709,94
1,165,57,2.826963,-89.430348,-1.127363,0.230217,0.248544,0.270428,92
1,165,57.5,2.820148,-89.435402,-1.098323,0.171241,0.304366,0.257847,103
1,165,58,2.815329,-89.442125,-1.080171,0.21375,0.260644,0.248342,108
1,165,58.5,2.811358,-89.450936,-1.070341,0.204907,0.280149,0.244932,93
1,165,59,2.807964,-89.462913,-1.047569,0.182853,0.275346,0.241268,100
1,165,59.5,2.804978,-89.445818,-1.061879,0.216735,0.270327,0.238466,90
1,165,60,2.802415,-89.45688,-1.04893,0.209727,0.277159,0.235395,106
1,165,60.5,2.801247,-89.477449,-1.020874,0.20816,0.27067,0.230679,89
1,165,61,2.800533,-89.481523,-1.012198,0.207371,0.279242,0.233598,95
1,165,61.5,2.800034,-89.477907,-1.005944,0.21147,0.255659,0.225888,92
1,165,62,2.800284,-89.495584,-0.99364,0.207125,0.232093,0.22843,105
1,165,62.5,2.800127,-89.488338,-0.983895,0.205219,0.246215,0.22189,103
1,165,63,2.800511,-89.511942,-0.962417,0.21397,0.283738,0.231749,102
1,165,63.5,2.80069,-89.494241,-0.964765,0.217518,0.224606,0.224412,96
1,165,64,2.800485,-89.513643,-0.957663,0.207859,0.234448,0.227009,91
1,165,64.5,2.800473,-89.516037,-0.947131,0.19266,0.29431,0.22823,98
1,165,65,2.800501,-89.500737,-0.952166,0.219371,0.266658,0.228468,98
1,165,65.5,2.800921,-89.514894,-0.934974,0.170109,0.293674,0.230586,93
1,165,66,2.800356,-89.509652,-0.941622,0.192126,0.261038,0.229125,94
1,165,66.5,2.800462,-89.525221,-0.919991,0.185369,0.263108,0.23042,98
1,165,67,2.800089,-89.529143,-0.926765,0.207293,0.227655,0.230842,95
1,165,67.5,2.800054,-89.538032,-0.898628,0.209244,0.261122,0.231262,109
1,165,68,2.799388,-89.532487,-0.89623,0.18575,0.278245,0.233892,97
1,165,68.5,2.799144,-89.55046,-0.8735,0.212174,0.284773,0.230299,91
1,165,123,5.102642,135.180947,0.071611,0.067483,-0.108054,0.750461,220
1,165,122.5,4.407446,89.471588,0.239811,0.58469,0.67057,11.832604,66
1,165,122,4.004473,89.639671,0.501888,21.945271,22.171817,8.059576,157
1,165,121.5,2.969122,89.690687,0.569931,3.918593,3.888644,7.038247,102
1,165,121,2.863324,89.728942,0.593879,0.09533,0.067587,0.242858,95
1,165,120.5,2.832239,89.723018,0.608228,0.044568,0.036331,0.213203,96
1,165,120,2.810614,89.720506,0.597102,0.069747,0.004129,0.182556,102
1,165,119.5,2.798956,-90.276114,0.586495,0.068871,0.047025,0.188676,104
1,165,119,2.792649,-90.267972,0.583774,0.092724,0.156583,0.208934,91
1,165,118.5,2.790692,-90.253007,0.557573,0.145378,0.207556,0.225523,96
1,165,118,2.790327,-90.254587,0.531873,0.202241,0.247986,0.235462,88
1,165,117.5,2.790162,-90.248177,0.537199,0.201806,0.233104,0.232816,92
1,165,117,2.790011,-90.23947,0.525401,0.210131,0.217095,0.235222,95
1,165,116.5,2.790149,-90.23166,0.505088,0.189274,0.25266,0.230025,109
1,165,116,2.789428,-90.23327,0.5124,0.211468,0.220512,0.233025,93
1,165,115.5,2.788621,-90.232451,0.488136,0.210041,0.226415,0.229752,94
1,165,115,2.787245,-90.217429,0.459467,0.18862,0.232624,0.224446,93
1,165,114.5,2.786213,-90.205257,0.446093,0.197998,0.246537,0.225755,99
1,165,114,2.785309,-90.206322,0.439388,0.19416,0.243452,0.229433,101
1,165,113.5,2.784079,-90.17161,0.403758,0.183946,0.255021,0.227266,92
1,165,113,2.783293,-90.181202,0.399724,0.172426,0.29447,0.226362,94
1,165,112.5,2.782462,-90.171042,0.372885,0.222978,0.21093,0.227994,93
1,165,112,2.781277,-90.164038,0.362133,0.241091,0.212595,0.227888,88
1,165,111.5,2.780804,-90.158433,0.345288,0.203836,0.22022,0.229341,101
1,165,111,2.780149,-90.151253,0.331479,0.241543,0.207664,0.226624,94
1,165,110.5,2.77908,-90.141474,0.32181,0.205438,0.232714,0.225887,91
1,165,110,2.778234,-90.131373,0.286567,0.236764,0.246992,0.233412,93
1,165,109.5,2.777785,-90.118763,0.27696,0.244601,0.235716,0.225982,95
1,165,109,2.77774,-90.113878,0.279643,0.243506,0.205573,0.230893,87
1,165,108.5,2.776992,-90.110031,0.25075,0.205977,0.230111,0.232594,91
[LCD Data End],,,,,,,,,
[LCD Stats],,,,,,,,,
Parameters,cell gap (um),top R/D (?,twist (?,top pre-tilt (?,bottom pre-tilt (?,,,,
Average,2.962682,-66.738396,-0.285659,1.173565,1.203122,,,,
Standard Deviation,0.521219,61.615897,0.498755,4.224842,4.204595,,,,
Maximum Value,5.102642,135.349747,0.608228,35.104388,34.992636,,,,
Minimum Value,2.770303,-90.276114,-1.141645,0.011952,-0.210538,,,,
Range (Max-Min),2.33234,225.625861,1.749872,35.092435,35.203174,,,,
[LCD Stats End],,,,,,,,,
[General],,,,,,,,,
"Panel Mapper=""""",,,,,,,,,
"LCDView=""""",,,,,,,,,
"Sample Information=""""",,,,,,,,,
[Fitting Parameters],,,,,,,,,
Max Iterations=400,,,,,,,,,
Target Tolerance=0.0001000000,,,,,,,,,
[Simulation Parameters],,,,,,,,,
Layer Count Type=0,,,,,,,,,
Number of Layers=50,,,,,,,,,
[Refractive Index],,,,,,,,,
NoA=1.4877000000,,,,,,,,,
NoB=0.0000000000,,,,,,,,,
NoC=0.0000000000,,,,,,,,,
NeA=1.6028000000,,,,,,,,,
NeB=0.0000000000,,,,,,,,,
NeC=0.0000000000,,,,,,,,,
[Initial LCD Parameters],,,,,,,,,
Corrected Rubbing Direction=-89.758621,,,,,,,,,
Cell Gap=2.7789648276,,,,,,,,,
Rubbing Direction=-89.7586207677,,,,,,,,,
Twist Angle=-0.4454964006,,,,,,,,,
Front Pre-Tilt=0.1856905984,,,,,,,,,
Back Pre-Tilt=0.2333841598,,,,,,,,,
CellGapInclude=TRUE,,,,,,,,,
RubDirInclude=TRUE,,,,,,,,,
TwistInclude=TRUE,,,,,,,,,
FrontTiltInclude=TRUE,,,,,,,,,
RearTiltInclude=TRUE,,,,,,,,,
Pretilt coupling=0,,,,,,,,,
[Vision],,,,,,,,,
Angle=0.000000,,,,,,,,,
OffsetX=0.000000,,,,,,,,,
OffsetY=0.000000,,,,,,,,,
Panel Size=0.000000,,,,,,,,,
Coordinates=0,,,,,,,,,
[Cplate cluster],,,,,,,,,
first Cplate Rth=0.00000000,,,,,,,,,
Second Cplate Rth=0.00000000,,,,,,,,,
Navg=1.50000000,,,,,,,,,
Dn=0.01000000,,,,,,,,,
Side=Color Filter Facing Up,,,,,,,,,
[Elastic Continuum Thry],,,,,,,,,
Use ECT=FALSE,,,,,,,,,
K11=0.00000000,,,,,,,,,
K22=0.00000000,,,,,,,,,
K33=0.00000000,,,,,,,,,
Use File=FALSE,,,,,,,,,
"Director File=""""",,,,,,,,,
[Data Point Rejection],,,,,,,,,
Remove zero vals=FALSE,,,,,,,,,
Threshold=0.00000000,,,,,,,,,
[CG correction],,,,,,,,,
Aux A=1.00000000,,,,,,,,,
Aux B=0.00000000,,,,,,,,,
[MVA Options],,,,,,,,,
Use MVA Fitting=FALSE,,,,,,,,,
Percentage PT=0.00000000,,,,,,,,,
zones=<size(s)=0>,,,,,,,,,
Use Fresnel=FALSE,,,,,,,,,
correction A=0.00000000,,,,,,,,,
correction B=0.00000000,,,,,,,,,
correction C=0.00000000,,,,,,,,,
[Cell Gap Limits],,,,,,,,,
Max Value=0.00000000,,,,,,,,,
Min Value=0.00000000,,,,,,,,,
Check CG=FALSE,,,,,,,,,
[RD Limits],,,,,,,,,
Max Value=0.00000000,,,,,,,,,
Min Value=0.00000000,,,,,,,,,
Check RD=FALSE,,,,,,,,,
[Twist Limits],,,,,,,,,
Max Value=0.00000000,,,,,,,,,
Min Value=0.00000000,,,,,,,,,
Check Twist=FALSE,,,,,,,,,
[FPT Limits],,,,,,,,,
Max Value=0.00000000,,,,,,,,,
Min Value=0.00000000,,,,,,,,,
Check FPT=FALSE,,,,,,,,,
[BPT Limits],,,,,,,,,
Max Value=0.00000000,,,,,,,,,
Min Value=0.00000000,,,,,,,,,
Check BPT=FALSE,,,,,,,,,

